task,task_sig,clip_model,concepts,stdX_per_fold,normC_for_cbm,fold,seed,N_total,N_train,N_test,r,p_lo,p_hi,F_keep_n,bb_acc,bb_f1,Y_pos_rate_total,Y_pos_rate_train,Y_pos_rate_test,cbm1_k_known,cbm1_acc,cbm1_f1,cbm1_mse,cbm1_F_pair_raw_mean,cbm1_E_pair_raw_mean,cbm1_F_pair_raw_max,cbm1_E_pair_raw_max,cbm1_S_frob_abs,cbm1_S_frob_rel,cbm1_Cov_frob_abs,cbm1_Cov_frob_rel,cbm1_Corr_frob_abs,cbm1_Corr_frob_rel,n_frust_atoms_full,n_nonfrust_pool,n_atoms_matched,C3_ridge_lam,C3_mse_frust_atoms,C3_r2_frust_atoms,C3_mse_nonfrust_atoms,C3_r2_nonfrust_atoms,cbm2_k_known,cbm2_acc,cbm2_f1,cbm2_mse,cbm2_F_pair_raw_mean,cbm2_E_pair_raw_mean,cbm2_F_pair_raw_max,cbm2_E_pair_raw_max,cbm2_S_frob_abs,cbm2_S_frob_rel,cbm2_Cov_frob_abs,cbm2_Cov_frob_rel,cbm2_Corr_frob_abs,cbm2_Corr_frob_rel,cbm2_F_pair12_raw_mean,cbm2_E_pair12_raw_mean,cbm2_F_pair12_raw_max,cbm2_E_pair12_raw_max,cbm2_F_pair12_nonzero_frac,cbm2_E_pair12_nonzero_frac
CUB_Gull_vs_Tern,30dac27907,openai/clip-vit-base-patch16,has_upperparts_color::white|has_shape::gull-like|has_wing_pattern::solid,1,1,0,777,887,798,89,512,0.2,0.8,200,1.0,1.0,0.5287485907553551,0.5288220551378446,0.5280898876404494,2,0.5168539325842697,0.29508196721311475,1.009710431098938,0.12892010807991028,0.007707466837018728,0.12892010807991028,0.007707466837018728,14.713861465454102,0.9989826029836191,0.2857378556282348,4.289704516384995,0.06041624946878787,0.042708626188620834,24,276,24,0.001,0.2303997377578009,0.07548311916300998,0.2521677973517943,-0.011864803857927209,3,0.5393258426966292,0.6962962962962963,1.0044156312942505,0.008116257842630148,0.006856721360236406,0.01756577007472515,0.008269143290817738,25.892131805419922,0.9946937683872312,0.3250767184613185,2.8562593252932356,0.28098805653237613,0.15934394193729115,0.006783003453165293,0.006176697555929422,0.006783003453165293,0.006176697555929422,1.0,1.0
CUB_Gull_vs_Tern,30dac27907,openai/clip-vit-base-patch16,has_upperparts_color::white|has_shape::gull-like|has_wing_pattern::solid,1,1,1,778,887,798,89,512,0.2,0.8,200,0.9887640449438202,0.989247311827957,0.5287485907553551,0.5288220551378446,0.5280898876404494,2,0.6853932584269663,0.7307692307692307,1.202223539352417,0.08248235285282135,0.006995027884840965,0.08248235285282135,0.006995027884840965,18.140626907348633,0.9950529378026569,0.26382764557094546,2.8235473066677104,0.2614377230905136,0.1792854105769261,6,294,6,0.001,0.25239444760953167,-0.01586200178203967,0.2562868873570532,-0.031528676192605465,3,0.6853932584269663,0.6,1.1310925483703613,0.004727352759800851,0.008750897366553545,0.007269131951034069,0.010764766484498978,21.582599639892578,0.9962286722682638,0.32541377289214274,2.8446053541649965,0.5098798697771558,0.2800272962383159,0.0011113720247521996,0.006926469970494509,0.0011113720247521996,0.006926469970494509,1.0,1.0
CUB_Gull_vs_Tern,30dac27907,openai/clip-vit-base-patch16,has_upperparts_color::white|has_shape::gull-like|has_wing_pattern::solid,1,1,2,779,887,798,89,512,0.2,0.8,200,1.0,1.0,0.5287485907553551,0.5288220551378446,0.5280898876404494,2,0.6741573033707865,0.7387387387387387,1.0055960416793823,0.004016635939478874,0.007271959446370602,0.004016635939478874,0.007271959446370602,20.20805549621582,0.996806126907365,0.28103011648627585,3.924935881069194,0.08940138956788264,0.06269078099459743,1,299,1,0.001,0.24271033925875218,0.007993499865470377,0.24231690495198047,0.009601545863368255,3,0.9101123595505618,0.9166666666666666,1.1133726835250854,0.0,0.006903782642136018,0.0,0.008034459315240383,26.31482696533203,0.9884492301814869,0.30198280385696535,1.8639996525781128,1.0127910631864625,0.48919062437167116,0.0,0.008034459315240383,0.0,0.008034459315240383,0.0,1.0
CUB_Gull_vs_Tern,30dac27907,openai/clip-vit-base-patch16,has_upperparts_color::white|has_shape::gull-like|has_wing_pattern::solid,1,1,3,780,887,798,89,512,0.2,0.8,200,0.9775280898876404,0.9782608695652174,0.5287485907553551,0.5288220551378446,0.5280898876404494,2,0.48314606741573035,0.041666666666666664,1.1021862030029297,0.033634331077337265,0.006914180237799883,0.033634331077337265,0.006914180237799883,19.073829650878906,0.9961341724748856,0.2751194993539449,3.4440583086766163,0.13433298673299618,0.09494935274708427,8,292,8,0.001,0.2475297249171649,0.009756085322717434,0.24007093448121644,0.039595014132268735,3,0.7415730337078652,0.8034188034188035,1.095823884010315,0.0022598571182849505,0.007021139531085889,0.004803166724741459,0.010142420418560505,25.76304817199707,0.9901965297816068,0.3080380074051186,2.130576332805077,0.8875197063163541,0.44130873056893277,0.0008270727121271193,0.004423715174198151,0.0008270727121271193,0.004423715174198151,1.0,1.0
CUB_Gull_vs_Tern,30dac27907,openai/clip-vit-base-patch16,has_upperparts_color::white|has_shape::gull-like|has_wing_pattern::solid,1,1,4,781,887,798,89,512,0.2,0.8,200,0.9775280898876404,0.9787234042553191,0.5287485907553551,0.5288220551378446,0.5280898876404494,2,0.6853932584269663,0.7586206896551724,1.0456608533859253,0.23165956139564514,0.0055864411406219006,0.23165956139564514,0.0055864411406219006,16.231779098510742,0.990549530287431,0.2680123679671881,3.0674692541628406,0.10072550263110959,0.07055728829370682,33,267,33,0.001,0.2304099239324719,0.07262347181820916,0.2238271076224029,0.09911863848073288,3,0.6741573033707865,0.7642276422764228,1.0150489807128906,0.004875538172200322,0.006620157199601333,0.009495860897004604,0.008153148926794529,26.594091415405273,0.9934175492595112,0.3096740982892222,2.246309212173949,0.6959207813957348,0.3634873790878821,0.0025570541620254517,0.0060254051350057125,0.0025570541620254517,0.0060254051350057125,1.0,1.0
CUB_Gull_vs_Tern,30dac27907,openai/clip-vit-base-patch16,has_upperparts_color::white|has_shape::gull-like|has_wing_pattern::solid,1,1,5,782,887,798,89,512,0.2,0.8,200,0.9887640449438202,0.9894736842105263,0.5287485907553551,0.5288220551378446,0.5280898876404494,2,0.7865168539325843,0.7466666666666667,1.0992463827133179,0.0037665748968720436,0.005711779929697514,0.0037665748968720436,0.005711779929697514,21.33620834350586,0.9902227796283594,0.2675398652577166,2.8611795069191217,0.43722554780976447,0.2894132284557682,3,297,3,0.001,0.25321447487484294,-0.019162528188799932,0.25880097506966,-0.04164762373908837,3,0.7528089887640449,0.717948717948718,1.0120927095413208,0.022262323026855785,0.007699798792600632,0.047073669731616974,0.009388454258441925,23.42928123474121,0.9922467263677122,0.33780114713564435,3.1109078864214137,0.43543903943448853,0.2409474400727488,0.047073669731616974,0.009388454258441925,0.047073669731616974,0.009388454258441925,1.0,1.0
CUB_Gull_vs_Tern,30dac27907,openai/clip-vit-base-patch16,has_upperparts_color::white|has_shape::gull-like|has_wing_pattern::solid,1,1,6,783,887,798,89,512,0.2,0.8,200,1.0,1.0,0.5287485907553551,0.5288220551378446,0.5280898876404494,2,0.8876404494382022,0.9,1.1594481468200684,0.18981581926345825,0.007670269813388586,0.18981581926345825,0.007670269813388586,15.345160484313965,0.9912361548316045,0.25171588053933036,2.512037699366093,0.0002444916312821297,0.00017249825884119827,42,258,42,0.001,0.26079055732986406,-0.04965549014305859,0.239282651000991,0.036911647067468856,3,0.7752808988764045,0.8076923076923077,1.1177278757095337,0.004740372998639941,0.006769792642444372,0.007029617205262184,0.00724102184176445,26.01729965209961,0.9944370666647624,0.3189036757769891,2.6163540133467036,0.553126790694607,0.3035468585704735,0.002141855889931321,0.00724102184176445,0.002141855889931321,0.00724102184176445,1.0,1.0
CUB_Gull_vs_Tern,30dac27907,openai/clip-vit-base-patch16,has_upperparts_color::white|has_shape::gull-like|has_wing_pattern::solid,1,1,7,784,887,798,89,512,0.2,0.8,200,0.9887640449438202,0.9894736842105263,0.5287485907553551,0.5288220551378446,0.5280898876404494,2,0.5617977528089888,0.36065573770491804,1.1163647174835205,0.0021386630833148956,0.007089593913406134,0.0021386630833148956,0.007089593913406134,20.828149795532227,0.9997463086117264,0.27966169956932735,3.886802750853508,0.025255478528495245,0.017795055261447396,1,299,1,0.001,0.24927256267853676,-0.0032967321995645005,0.2419246028074613,0.02627805953750595,3,0.797752808988764,0.8333333333333334,1.1460360288619995,0.15899639911125027,0.006405238217363755,0.26684606075286865,0.007069510407745838,21.79368782043457,0.9935001738555662,0.3142358342031844,2.2948229247600054,0.5901342442959338,0.3233431596833493,0.00010426600783830509,0.00536767253652215,0.00010426600783830509,0.00536767253652215,1.0,1.0
CUB_Gull_vs_Tern,30dac27907,openai/clip-vit-base-patch16,has_upperparts_color::white|has_shape::gull-like|has_wing_pattern::solid,1,1,8,785,887,799,88,512,0.2,0.8,200,1.0,1.0,0.5287485907553551,0.5281602002503129,0.5340909090909091,2,0.5340909090909091,0.6962962962962963,1.0382044315338135,0.002353952033445239,0.008676802739501,0.002353952033445239,0.008676802739501,19.592885971069336,0.995038328433315,0.27794356076089827,3.638592282405369,0.2770799032368932,0.1943054364851372,2,298,2,0.001,0.25109795004160745,-0.004910865692209665,0.2429192094770716,0.027821003523042065,3,0.8068181818181818,0.8380952380952381,1.0159956216812134,0.0029159549546117582,0.00782977013538281,0.004326417576521635,0.008915098384022713,25.317331314086914,0.99295097331996,0.31193557023203955,2.3876925782776324,0.4734551225501897,0.26796357881435445,0.0042952983640134335,0.008915098384022713,0.0042952983640134335,0.008915098384022713,1.0,1.0
CUB_Gull_vs_Tern,30dac27907,openai/clip-vit-base-patch16,has_upperparts_color::white|has_shape::gull-like|has_wing_pattern::solid,1,1,9,786,887,800,87,512,0.2,0.8,200,0.9885057471264368,0.989010989010989,0.5287485907553551,0.52875,0.5287356321839081,2,0.5747126436781609,0.5747126436781609,1.1677879095077515,0.00042307007242925465,0.008569690398871899,0.00042307007242925465,0.008569690398871899,20.780620574951172,0.9950439731507352,0.27474988521130567,3.560465106386963,0.10913753193735205,0.07716752740301389,1,299,1,0.001,0.2478888240227059,-0.007664075735893672,0.2520359936778549,-0.02452225356601989,3,0.8620689655172413,0.8723404255319149,1.16085684299469,0.013542156045635542,0.00783995616560181,0.022378312423825264,0.009231191128492355,25.057239532470703,0.993848857046654,0.3036472608330764,2.1262678959829397,0.40672657939641294,0.2254651765618696,0.0,0.007299370598047972,0.0,0.007299370598047972,0.0,1.0
